Timestamp,Class,Confidence,X,Y,Width,Height,ParticleSize_�m
2025-10-07 12:17:05,LDPE,0.7850867509841919,29,354,41,44,84.95
2025-10-07 12:17:05,LDPE,0.6862654089927673,170,52,75,103,175.78
2025-10-07 12:17:05,LDPE,0.4688611626625061,22,17,45,35,79.37
2025-10-07 12:17:05,LDPE_count,3,,,,,
2025-10-07 12:17:32,LDPE,0.8821171522140503,83,341,91,34,111.25
2025-10-07 12:17:32,LDPE,0.8041263818740845,121,380,141,45,159.31
2025-10-07 12:17:32,LDPE,0.6692174077033997,73,256,60,74,133.27
2025-10-07 12:17:32,LDPE,0.5869088172912598,123,313,53,73,124.4
2025-10-07 12:17:32,LDPE,0.48150986433029175,137,443,62,67,128.9
2025-10-07 12:17:32,LDPE_count,5,,,,,
2025-10-07 12:17:45,LDPE,0.7850384712219238,470,447,97,48,136.47
2025-10-07 12:17:45,LDPE,0.5335873365402222,578,259,41,39,79.97
2025-10-07 12:17:45,LDPE_count,2,,,,,
2025-10-07 12:17:49,LDPE,0.7982016801834106,576,251,48,53,100.88
2025-10-07 12:17:49,LDPE,0.5084985494613647,472,454,112,52,152.63
2025-10-07 12:17:49,LDPE_count,2,,,,,
2025-10-07 12:17:54,LDPE,0.8622811436653137,471,444,84,50,129.61
2025-10-07 12:17:54,LDPE,0.6853904724121094,582,252,43,51,93.66
2025-10-07 12:17:54,LDPE,0.6178852319717407,591,51,97,74,169.45
2025-10-07 12:17:54,LDPE_count,3,,,,,
2025-10-07 12:17:58,LDPE,0.8307799100875854,470,444,90,53,138.13
2025-10-07 12:17:58,LDPE_count,1,,,,,
2025-10-07 12:18:02,LDPE,0.879460871219635,467,443,87,49,130.58
2025-10-07 12:18:02,LDPE_count,1,,,,,
2025-10-07 12:18:06,LDPE,0.8814767599105835,473,440,79,51,126.95
2025-10-07 12:18:06,LDPE_count,1,,,,,
2025-10-07 12:18:10,LDPE,0.8528077602386475,468,447,84,50,129.61
2025-10-07 12:18:10,LDPE,0.7370895743370056,596,55,88,75,162.48
2025-10-07 12:18:10,LDPE,0.708977997303009,583,253,45,49,93.91
2025-10-07 12:18:10,LDPE_count,3,,,,,
2025-10-07 12:18:19,LDPE,0.8860411643981934,469,445,96,50,138.56
2025-10-07 12:18:19,LDPE,0.5118727087974548,579,253,46,46,92.0
2025-10-07 12:18:19,LDPE,0.4564627408981323,590,30,99,61,155.42
2025-10-07 12:18:19,LDPE_count,3,,,,,
2025-10-07 12:18:22,LDPE,0.8806654810905457,467,445,88,51,133.99
2025-10-07 12:18:22,LDPE,0.6676483154296875,578,262,33,29,61.87
2025-10-07 12:18:22,LDPE,0.6460738778114319,571,35,47,42,88.86
2025-10-07 12:18:22,LDPE,0.6432463526725769,581,236,40,23,60.66
2025-10-07 12:18:22,LDPE,0.5632993578910828,610,28,59,46,104.19
2025-10-07 12:18:22,LDPE,0.4441468119621277,563,5,52,11,47.83
2025-10-07 12:18:22,LDPE_count,6,,,,,
2025-10-07 12:18:26,LDPE,0.77071613073349,458,453,79,43,116.57
2025-10-07 12:18:26,LDPE,0.7083016037940979,568,265,42,29,69.8
2025-10-07 12:18:26,LDPE_count,2,,,,,
2025-10-07 12:18:30,LDPE,0.7529757618904114,578,267,35,28,62.61
2025-10-07 12:18:30,LDPE,0.6042238473892212,471,447,80,47,122.64
2025-10-07 12:18:30,LDPE,0.4672529697418213,589,29,102,58,153.83
2025-10-07 12:18:30,LDPE,0.40111470222473145,572,461,134,38,142.72
2025-10-07 12:18:30,LDPE_count,4,,,,,
2025-10-07 12:18:33,LDPE,0.8480886816978455,465,444,86,49,129.83
2025-10-07 12:18:33,LDPE,0.5666528344154358,561,19,66,38,100.16
2025-10-07 12:18:33,LDPE,0.5486754775047302,574,238,52,23,69.17
2025-10-07 12:18:33,LDPE_count,3,,,,,
2025-10-07 12:18:36,LDPE,0.7482944130897522,471,453,80,45,120.0
2025-10-07 12:18:36,LDPE,0.6452100276947021,582,259,49,46,94.95
2025-10-07 12:18:36,LDPE_count,2,,,,,
2025-10-07 12:18:39,LDPE,0.7609351277351379,468,453,84,46,124.32
2025-10-07 12:18:39,LDPE,0.42926323413848877,576,265,31,31,62.0
2025-10-07 12:18:39,LDPE_count,2,,,,,
2025-10-07 12:18:43,LDPE,0.7659703493118286,538,79,67,53,119.18
2025-10-07 12:18:43,LDPE,0.6544017195701599,392,19,68,39,103.0
2025-10-07 12:18:43,LDPE_count,2,,,,,
2025-10-07 12:18:47,LDPE,0.4628206491470337,448,471,60,17,63.87
2025-10-07 12:18:47,LDPE_count,1,,,,,
2025-10-07 12:18:51,LDPE,0.44547343254089355,414,14,136,28,123.42
2025-10-07 12:18:51,LDPE_count,1,,,,,
2025-10-07 12:18:59,LDPE,0.7788307070732117,534,75,68,74,141.87
2025-10-07 12:18:59,LDPE,0.7285882234573364,391,19,63,39,99.14
2025-10-07 12:18:59,LDPE,0.4869579076766968,549,309,37,28,64.37
2025-10-07 12:18:59,LDPE_count,3,,,,,
2025-10-07 12:19:03,LDPE,0.5744956731796265,533,69,72,60,131.45
2025-10-07 12:19:03,LDPE,0.5481500029563904,331,334,44,29,71.44
2025-10-07 12:19:03,LDPE,0.4544011950492859,451,472,53,16,58.24
2025-10-07 12:19:03,LDPE_count,3,,,,,
2025-10-07 12:19:06,LDPE,0.6112297177314758,325,333,43,27,68.15
2025-10-07 12:19:06,LDPE,0.6107586622238159,566,58,147,116,261.17
2025-10-07 12:19:06,LDPE_count,2,,,,,
2025-10-07 12:19:10,LDPE,0.7358942031860352,534,74,72,73,145.0
2025-10-07 12:19:10,LDPE,0.5980474352836609,548,295,51,51,102.0
2025-10-07 12:19:10,LDPE,0.42192673683166504,450,470,55,20,66.33
2025-10-07 12:19:10,LDPE_count,3,,,,,
2025-10-07 12:19:15,LDPE,0.7525503635406494,530,67,70,48,115.93
2025-10-07 12:19:15,LDPE,0.59786456823349,381,13,64,27,83.14
2025-10-07 12:19:15,LDPE_count,2,,,,,
2025-10-07 12:19:19,LDPE,0.773952841758728,532,75,66,69,134.97
2025-10-07 12:19:19,LDPE,0.5949817895889282,456,471,67,17,67.5
2025-10-07 12:19:19,LDPE,0.5644646286964417,391,13,88,27,97.49
2025-10-07 12:19:19,LDPE_count,3,,,,,
2025-10-07 12:19:23,LDPE,0.868567168712616,535,70,60,53,112.78
2025-10-07 12:19:23,LDPE,0.6511814594268799,543,309,51,30,78.23
2025-10-07 12:19:23,LDPE,0.581839382648468,384,14,60,28,81.98
2025-10-07 12:19:23,LDPE_count,3,,,,,
2025-10-07 12:19:27,LDPE,0.8511263728141785,529,61,63,28,84.0
